127.0.0.1 - - [04/Dec/2020:09:43:19 -0500] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [04/Dec/2020:09:44:09 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:09 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:10 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:10 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:15 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:15 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:44:15 -0500] "GET / HTTP/1.1" 404 682
127.0.0.1 - - [04/Dec/2020:09:46:22 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:22 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:30 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:30 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "GET /benchmark/cmdi-Index.html HTTP/1.1" 200 26551
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "GET /benchmark/css/normalize.css HTTP/1.1" 200 7797
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "GET /benchmark/css/skeleton.css HTTP/1.1" 200 11452
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "GET /benchmark/js/jquery.min.js HTTP/1.1" 200 84380
127.0.0.1 - - [04/Dec/2020:09:46:39 -0500] "GET /benchmark/favicon.ico HTTP/1.1" 200 3638
127.0.0.1 - - [04/Dec/2020:09:46:48 -0500] "GET /benchmark/ HTTP/1.1" 200 1742
127.0.0.1 - - [04/Dec/2020:09:46:48 -0500] "GET /benchmark/css/normalize.css HTTP/1.1" 200 7797
127.0.0.1 - - [04/Dec/2020:09:46:48 -0500] "GET /benchmark/css/skeleton.css HTTP/1.1" 200 11452
127.0.0.1 - - [04/Dec/2020:09:46:48 -0500] "GET /benchmark/js/jquery.min.js HTTP/1.1" 200 84380
127.0.0.1 - - [04/Dec/2020:10:15:08 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:10:15:08 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:10:15:08 -0500] "GET / HTTP/1.1" 404 682
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "GET /benchmark/ HTTP/1.1" 200 1742
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "GET /benchmark/css/normalize.css HTTP/1.1" 200 7797
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "GET /benchmark/css/skeleton.css HTTP/1.1" 200 11452
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "-" 400 -
127.0.0.1 - - [04/Dec/2020:10:15:12 -0500] "GET /benchmark/js/jquery.min.js HTTP/1.1" 200 84380
